# HomeWork05 - Legendre polynomial stability
# Columns:
# x l P_reference P_forward P_backward abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.5 3 -4.375000000000000000000e-01 -4.375000000000000000000e-01 -1.092131755887314897846e-01 0.000000000000000000000e+00 0.000000000000000000000e+00 3.282868244112685102154e-01 7.503698843686137376352e-01
0.5 4 -2.890625000000000000000e-01 -2.890625000000000000000e-01 4.430060600911973622829e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 4.719123100911973622829e+00 1.632561505180358442553e+01
0.5 5 8.984375000000000000000e-02 8.984375000000000000000e-02 4.074425081291761507885e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 3.984581331291761507885e+00 4.435012264394308461116e+01
0.5 6 3.232421875000000000000e-01 3.232421875000000000000e-01 4.317249042413656007211e-02 0.000000000000000000000e+00 0.000000000000000000000e+00 2.800696970758634399279e-01 8.664391837029733005847e-01
0.5 7 2.231445312500000000000e-01 2.231445312500000000000e-01 -3.452275614284811666721e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 3.675420145534811666721e+00 1.647102944869867460244e+01
0.5 8 -7.363891601562500000000e-02 -7.363891601562500000000e-02 -3.274284317513130204702e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 3.200645401497505204702e+00 4.346404828689193972080e+01
0.5 9 -2.678985595703125000000e-01 -2.678985595703125000000e-01 -2.369019828701269744786e-02 0.000000000000000000000e+00 0.000000000000000000000e+00 2.442083612832998025521e-01 9.115702662791100905444e-01
0.5 10 -1.882286071777343750000e-01 -1.882286071777343750000e-01 2.924350197389155248118e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 3.112578804566889623118e+00 1.653616233598246384150e+01
0.5 11 6.387138366699218750000e-02 6.387138366699218750000e-02 2.812961732314205320904e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.749090348647213133404e+00 4.304103325802699791733e+01
0.5 12 2.337529659271240234375e-01 2.337529659271240234375e-01 1.510064586105401562843e-02 0.000000000000000000000e+00 0.000000000000000000000e+00 2.186523200660700078091e-01 9.353991261622671029956e-01
0.5 13 1.658042669296264648438e-01 1.658042669296264648438e-01 -2.582060208808252710355e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.747864475737879175199e+00 1.657294185863247826945e+01
0.5 14 -5.717363953590393066406e-02 -5.717363953590393066406e-02 -2.503865801078937192159e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.446692161543033261495e+00 4.279406001443302027046e+01
0.5 15 -2.100185006856918334961e-01 -2.100185006856918334961e-01 -1.048074615526984124103e-02 0.000000000000000000000e+00 0.000000000000000000000e+00 1.995377545304219922551e-01 9.500960814354395835533e-01
0.5 16 -1.498551354743540287018e-01 -1.498551354743540287018e-01 2.337220965673585837408e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.487076101147939866109e+00 1.659653566943372550273e+01
0.5 17 5.221683974377810955048e-02 5.221683974377810955048e-02 2.278343404241087277740e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.226126564497309168189e+00 4.263234955276210442696e+01
0.5 18 1.922962221433408558369e-01 1.922962221433408558369e-01 7.680730987114668846527e-03 0.000000000000000000000e+00 0.000000000000000000000e+00 1.846154911562261869903e-01 9.600578165212766266383e-01
0.5 19 1.377672102244105190039e-01 1.377672102244105190039e-01 -2.150951987004102505807e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.288719197228513024811e+00 1.661294580546701377295e+01
0.5 20 -4.835838106737355701625e-02 -4.835838106737355701625e-02 -2.104474881766758898038e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.056116500699385341022e+00 4.251830717481579352893e+01
